Entity,Code,Year,Meningitis (deaths),Lower respiratory infections (deaths),Protein-energy malnutrition (deaths),Terrorism ,Cardiovascular,Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers,Parkinson disease (deaths),Fire (deaths),Malaria (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Natural disasters (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Conflict (deaths),Diabetes (deaths),Poisonings (deaths)
Cote d'Ivoire,CIV,2018,3385.737729,16655.2343,2475.029185,3,25093,1920.886174,2834.286986,3654.795977,3510.537081,6604.053192,419.8808383,10068,356.3996604,742.2611165,16251.11958,1042.468789,2366.391746,18818.91957,303.6969474,8412.1741,3630.973386,2631.372945,19879.34779,306.7927671,15.00000003,11384.20124,318.6143705,2579.76303,1915.872045,24.00000011,2827.06998,257.3372903
Croatia,HRV,2018,17.32650405,562.0872599,0.611703876,,23426,3369.42866,828.6556854,1890.354267,1095.267062,2104.831433,1.654532,13549,462.5126169,45.85072099,0,82.94862593,47.739175,9.001516908,74.54803239,54.82809342,379.1420941,2.13980614,72.02577779,253.9130346,0,30.52824694,24.99637827,3.007478071,707.5199104,0,999.4767657,19.43827571
Cuba,CUB,2018,99.91877592,5678.313884,42.41742274,,37598,6988.417119,2339.86829,4405.86972,1868.808153,3969.376872,11.03249172,26203,863.1073693,109.5506699,0,309.2545789,688.7819594,361.2905119,76.64939433,43.34280824,1120.757034,53.12598413,184.904184,703.6329456,10.00000002,276.6966188,72.81157875,60.26215627,1790.831584,0,1769.401001,36.06064077
Cyprus,CYP,2018,2.428912594,177.3907916,5.589517357,,2705,482.7784251,255.5850005,474.3243469,122.8941636,288.1226542,2.709462342,2058,80.95052169,12.22381819,0,25.17078104,20.36562869,1.857215993,16.98466873,4.140897402,151.5209111,0.882190064,18.15118869,9.498646622,0,23.43544879,6.722456279,6.622348664,70.51336577,0,400.8494321,2.807513464
Czech Republic,CZE,2018,43.32193616,3222.480544,60.53026531,0,48960,7580.866218,1257.172016,3863.850155,2174.963883,4519.911562,17.38643972,28927,946.0191663,147.0801879,0,193.4270262,121.1051521,23.73963946,140.093077,53.96084802,853.3223513,5.602344251,118.8967386,445.7147609,0,258.2726184,149.5150461,79.90191407,1516.689193,0,2958.008605,83.01238661
Democratic Republic of Congo,COD,2018,10031.51532,58587.28432,12735.50923,596,83261,5824.667004,8021.513179,16528.89584,12752.83078,24612.20339,1431.500343,33983,810.8770426,2093.213528,81226.47666,5877.619937,2462.998276,16414.23104,549.7699377,53303.85993,20501.50917,10166.27547,53949.8072,746.3938268,530.0000038,36659.65455,449.8582693,13059.48483,5429.778151,2790.999446,10779.47103,986.6298882
Denmark,DNK,2018,34.40263823,2376.916738,33.99396643,,14525,4476.553294,968.1588444,4319.449474,947.1765174,2529.591166,6.746764301,17404,551.1096256,98.89458702,0,34.2825494,46.30024555,26.92572326,244.2198205,28.99228608,282.6655126,2.183224244,105.3884559,807.3614731,0,331.246434,28.95283952,65.70172842,694.7792359,0,1294.199638,12.22822016
Djibouti,DJI,2018,96.16034385,457.5882394,91.31739814,0,1081,88.54132595,139.0117786,145.3094676,143.1333881,263.5889406,13.77998211,740,14.03684372,25.80629966,1.744510271,28.33856575,85.66022728,723.5823113,6.573056526,399.5280552,174.8273088,130.744427,340.4519451,13.9498964,0,250.1157784,2.822846788,94.0695232,60.9405378,0.999999997,197.1423584,11.32861736
Dominica,DMA,2018,0.90246129,31.65289204,1.487278321,,223,33.8012546,32.98428265,22.3894752,9.863011065,23.32966324,0.155376571,158,5.263162746,1.532901833,0,4.286056901,8.068385806,5.027163226,1.011963885,2.31204223,11.55080635,1.228436718,13.46533296,4.802797386,0,1.635174962,0.559920498,2.26377473,3.533066018,0,46.44572953,1.000467107
Dominican Republic,DOM,2018,222.7706242,2344.928247,142.1253204,2,23983,3001.252726,2308.412288,1705.234309,1611.903524,2499.916555,112.652506,9947,431.6164928,132.4818226,1.875231974,292.7073735,2347.263101,2561.684757,120.7115182,524.0415767,3151.82654,236.9451093,3139.495462,163.4534714,0,408.529824,51.34179626,158.0469837,925.5441186,0,2387.572725,37.32336305
